origin_iso3,destination_iso3,origin_former_colony
BEL,BDI,0
COD,BDI,0
FRA,BDI,0
KEN,BDI,0
RWA,BDI,0
UGA,BDI,0
TZA,BDI,0
FRA,COM,0
KEN,COM,0
MDG,COM,0
REU,COM,0
TZA,COM,0
ETH,DJI,0
SOM,DJI,0
YEM,DJI,0
AGO,ERI,0
BDI,ERI,0
CHN,ERI,0
COM,ERI,0
COD,ERI,0
ETH,ERI,0
FRA,ERI,0
IND,ERI,0
KEN,ERI,0
MWI,ERI,0
MOZ,ERI,0
RWA,ERI,0
SOM,ERI,0
ZAF,ERI,0
ZWE,ERI,0
SSD,ERI,0
SDN,ERI,0
UGA,ERI,0
GBR,ERI,0
TZA,ERI,0
ZMB,ERI,0
BDI,ETH,0
COD,ETH,0
ERI,ETH,1
DJI,ETH,0
RWA,ETH,0
SOM,ETH,0
SSD,ETH,0
SDN,ETH,0
UGA,ETH,0
YEM,ETH,0
BDI,KEN,0
COD,KEN,0
ETH,KEN,0
ERI,KEN,0
MOZ,KEN,0
NAM,KEN,0
RWA,KEN,0
SOM,KEN,0
ZAF,KEN,0
SSD,KEN,0
SDN,KEN,0
UGA,KEN,0
TZA,KEN,0
CHN,MDG,0
COM,MDG,0
FRA,MDG,0
IND,MDG,0
BDI,MWI,0
COG,MWI,0
COD,MWI,0
IND,MWI,0
MOZ,MWI,0
RWA,MWI,0
SOM,MWI,0
ZAF,MWI,0
GBR,MWI,0
TZA,MWI,0
ZMB,MWI,0
ZWE,MWI,0
BGD,MUS,0
BEL,MUS,0
CAN,MUS,0
LKA,MUS,0
CHN,MUS,0
FRA,MUS,0
DEU,MUS,0
HKG,MUS,0
IND,MUS,0
IRL,MUS,0
ITA,MUS,0
JPN,MUS,0
MDG,MUS,0
MYS,MUS,0
PAK,MUS,0
RUS,MUS,0
SYC,MUS,0
ZAF,MUS,0
ESP,MUS,0
CHE,MUS,0
GBR,MUS,0
USA,MUS,0
COM,MYT,0
FRA,MYT,0
MDG,MYT,0
AGO,MOZ,0
BDI,MOZ,0
CPV,MOZ,0
COD,MOZ,0
IND,MOZ,0
KEN,MOZ,0
LSO,MOZ,0
MWI,MOZ,0
NGA,MOZ,0
PAK,MOZ,0
PRT,MOZ,0
SYC,MOZ,0
ZAF,MOZ,0
ZWE,MOZ,0
TZA,MOZ,0
ZMB,MOZ,0
COM,REU,0
FRA,REU,0
MDG,REU,0
MUS,REU,0
MYT,REU,0
BDI,RWA,0
COD,RWA,0
KEN,RWA,0
UGA,RWA,0
TZA,RWA,0
AUS,SYC,0
BGD,SYC,0
BEL,SYC,0
LKA,SYC,0
CHN,SYC,0
CUB,SYC,0
FRA,SYC,0
DEU,SYC,0
IND,SYC,0
IDN,SYC,0
ITA,SYC,0
KEN,SYC,0
MDG,SYC,0
MDV,SYC,0
MUS,SYC,0
NPL,SYC,0
NGA,SYC,0
PAK,SYC,0
PHL,SYC,0
RUS,SYC,0
SOM,SYC,0
ZAF,SYC,0
ESP,SYC,0
THA,SYC,0
UGA,SYC,0
GBR,SYC,0
ETH,SOM,0
ERI,SOM,0
YEM,SOM,0
CAF,SSD,0
TCD,SSD,0
COD,SSD,0
EGY,SSD,0
ERI,SSD,0
ETH,SSD,0
IND,SSD,0
KEN,SSD,0
LBY,SSD,0
MLI,SSD,0
NGA,SSD,0
SDN,SSD,0
UGA,SSD,0
DZA,UGA,0
BGD,UGA,0
BEL,UGA,0
BDI,UGA,0
CAN,UGA,0
CHN,UGA,0
COD,UGA,0
CUB,UGA,0
DNK,UGA,0
ETH,UGA,0
ERI,UGA,0
FRA,UGA,0
GMB,UGA,0
DEU,UGA,0
GHA,UGA,0
GRC,UGA,0
HUN,UGA,0
IND,UGA,0
ITA,UGA,0
CIV,UGA,0
JPN,UGA,0
KEN,UGA,0
PRK,UGA,0
KOR,UGA,0
LBY,UGA,0
MWI,UGA,0
MRT,UGA,0
MOZ,UGA,0
NLD,UGA,0
NGA,UGA,0
NOR,UGA,0
PAK,UGA,0
RUS,UGA,0
RWA,UGA,0
SEN,UGA,0
SOM,UGA,0
ZWE,UGA,0
ESP,UGA,0
SSD,UGA,0
SDN,UGA,0
SWE,UGA,0
TGO,UGA,0
EGY,UGA,0
GBR,UGA,0
TZA,UGA,0
USA,UGA,0
ZMB,UGA,0
AGO,TZA,0
BWA,TZA,0
BDI,TZA,0
CAN,TZA,0
COM,TZA,0
COG,TZA,0
COD,TZA,0
DEU,TZA,0
IND,TZA,0
ITA,TZA,0
KEN,TZA,0
LSO,TZA,0
MWI,TZA,0
MUS,TZA,0
MOZ,TZA,0
NAM,TZA,0
PAK,TZA,0
RWA,TZA,0
SYC,TZA,0
SOM,TZA,0
ZAF,TZA,0
SWZ,TZA,0
UGA,TZA,0
GBR,TZA,0
USA,TZA,0
ZMB,TZA,0
ZWE,TZA,0
AGO,ZMB,0
AUS,ZMB,0
BWA,ZMB,0
BDI,ZMB,0
CMR,ZMB,0
CAN,ZMB,0
CHN,ZMB,0
COG,ZMB,0
COD,ZMB,0
FRA,ZMB,0
DEU,ZMB,0
GHA,ZMB,0
IND,ZMB,0
JPN,ZMB,0
KEN,ZMB,0
MWI,ZMB,0
MLI,ZMB,0
MOZ,ZMB,0
NAM,ZMB,0
NGA,ZMB,0
RWA,ZMB,0
SEN,ZMB,0
ZAF,ZMB,0
ZWE,ZMB,0
UGA,ZMB,0
EGY,ZMB,0
GBR,ZMB,0
TZA,ZMB,0
USA,ZMB,0
BWA,ZWE,0
MWI,ZWE,0
MOZ,ZWE,0
ZAF,ZWE,0
GBR,ZWE,0
ZMB,ZWE,0
CPV,AGO,0
TCD,AGO,0
COG,AGO,0
COD,AGO,0
GIN,AGO,0
CIV,AGO,0
MOZ,AGO,0
NAM,AGO,0
PRT,AGO,0
RWA,AGO,0
STP,AGO,0
ZAF,AGO,0
ZMB,AGO,0
AGO,CMR,0
CAN,CMR,0
CAF,CMR,0
TCD,CMR,0
COG,CMR,0
COD,CMR,0
BEN,CMR,0
GNQ,CMR,0
FRA,CMR,0
GAB,CMR,0
DEU,CMR,0
GRC,CMR,0
GIN,CMR,0
ITA,CMR,0
LBR,CMR,0
MLI,CMR,0
NLD,CMR,0
NER,CMR,0
NGA,CMR,0
SEN,CMR,0
GBR,CMR,0
USA,CMR,0
AUS,CAF,0
AUT,CAF,0
CAN,CAF,0
TCD,CAF,0
COD,CAF,0
CYP,CAF,0
DNK,CAF,0
FRA,CAF,0
IRL,CAF,0
ITA,CAF,0
MLI,CAF,0
NLD,CAF,0
RUS,CAF,0
STP,CAF,0
SVN,CAF,0
ZAF,CAF,0
SSD,CAF,0
SDN,CAF,0
SWE,CAF,0
CHE,CAF,0
TGO,CAF,0
TUR,CAF,0
EGY,CAF,0
USA,CAF,0
CMR,TCD,0
CAF,TCD,0
COG,TCD,0
COD,TCD,0
FRA,TCD,0
GAB,TCD,0
LBY,TCD,0
NER,TCD,0
NGA,TCD,0
SDN,TCD,0
AGO,COG,0
CMR,COG,0
CAF,COG,0
TCD,COG,0
CHN,COG,0
COD,COG,0
CUB,COG,0
BEN,COG,0
GNQ,COG,0
FRA,COG,0
GAB,COG,0
DEU,COG,0
LBN,COG,0
MLI,COG,0
MRT,COG,0
PRT,COG,0
RUS,COG,0
RWA,COG,0
SEN,COG,0
TGO,COG,0
USA,COG,0
AGO,COD,0
BDI,COD,0
CAF,COD,0
COG,COD,0
RWA,COD,0
SSD,COD,0
SDN,COD,0
UGA,COD,0
CMR,GNQ,0
FRA,GNQ,0
GAB,GNQ,0
NGA,GNQ,0
STP,GNQ,0
ESP,GNQ,0
DZA,GAB,0
AGO,GAB,0
BEL,GAB,0
BDI,GAB,0
CMR,GAB,0
CAN,GAB,0
TCD,GAB,0
CHN,GAB,0
COG,GAB,0
COD,GAB,0
BEN,GAB,0
GNQ,GAB,0
FRA,GAB,0
DEU,GAB,0
GHA,GAB,0
GIN,GAB,0
ISR,GAB,0
CIV,GAB,0
JPN,GAB,0
PRK,GAB,0
KOR,GAB,0
LBN,GAB,0
MLI,GAB,0
MAR,GAB,0
NGA,GAB,0
RWA,GAB,0
STP,GAB,0
SEN,GAB,0
ZAF,GAB,0
SYR,GAB,0
TGO,GAB,0
TUN,GAB,0
USA,GAB,0
BFA,GAB,0
AGO,STP,0
CPV,STP,0
GNQ,STP,0
GAB,STP,0
MOZ,STP,0
PRT,STP,0
FRA,DZA,0
PSE,DZA,0
DEU,DZA,0
IDN,DZA,0
IRQ,DZA,0
ITA,DZA,0
JOR,DZA,0
KWT,DZA,0
LBN,DZA,0
LBY,DZA,0
MYS,DZA,0
RUS,DZA,0
SAU,DZA,0
SOM,DZA,0
SDN,DZA,0
ESH,DZA,0
SYR,DZA,0
GBR,DZA,0
USA,DZA,0
YEM,DZA,0
AFG,EGY,0
ALB,EGY,0
DZA,EGY,0
AGO,EGY,0
ATG,EGY,0
AZE,EGY,0
ARG,EGY,0
AUS,EGY,0
AUT,EGY,0
BHS,EGY,0
BHR,EGY,0
BGD,EGY,0
ARM,EGY,0
BEL,EGY,0
BIH,EGY,0
BRA,EGY,0
BRN,EGY,0
BGR,EGY,0
MMR,EGY,0
BDI,EGY,0
BLR,EGY,0
CMR,EGY,0
CAN,EGY,0
CAF,EGY,0
LKA,EGY,0
TCD,EGY,0
CHL,EGY,0
CHN,EGY,0
COL,EGY,0
COM,EGY,0
COG,EGY,0
COD,EGY,0
HRV,EGY,0
CYP,EGY,0
CZE,EGY,0
BEN,EGY,0
DNK,EGY,0
ECU,EGY,0
SLV,EGY,0
ETH,EGY,0
ERI,EGY,0
EST,EGY,0
FIN,EGY,0
FRA,EGY,0
DJI,EGY,0
GMB,EGY,0
PSE,EGY,0
DEU,EGY,0
GHA,EGY,0
GIB,EGY,0
GRC,EGY,0
GTM,EGY,0
GIN,EGY,0
HUN,EGY,0
IND,EGY,0
IDN,EGY,0
IRN,EGY,0
IRQ,EGY,0
IRL,EGY,0
ISR,EGY,0
ITA,EGY,0
CIV,EGY,0
JPN,EGY,0
KAZ,EGY,0
JOR,EGY,0
KEN,EGY,0
PRK,EGY,0
KOR,EGY,0
KWT,EGY,0
KGZ,EGY,0
LBN,EGY,0
LBR,EGY,0
LBY,EGY,0
MDG,EGY,0
MWI,EGY,0
MYS,EGY,0
MDV,EGY,0
MLI,EGY,0
MRT,EGY,0
MEX,EGY,0
MCO,EGY,0
MNG,EGY,0
MDA,EGY,0
MAR,EGY,0
MOZ,EGY,0
OMN,EGY,0
NAM,EGY,0
NLD,EGY,0
NZL,EGY,0
NER,EGY,0
NGA,EGY,0
NOR,EGY,0
PAK,EGY,0
PHL,EGY,0
POL,EGY,0
PRT,EGY,0
GNB,EGY,0
QAT,EGY,0
ROU,EGY,0
RUS,EGY,0
RWA,EGY,0
SAU,EGY,0
SEN,EGY,0
SYC,EGY,0
SLE,EGY,0
SGP,EGY,0
SVK,EGY,0
SOM,EGY,0
ZAF,EGY,0
ZWE,EGY,0
ESP,EGY,0
SSD,EGY,0
SDN,EGY,0
SWE,EGY,0
CHE,EGY,0
SYR,EGY,1
TJK,EGY,0
THA,EGY,0
ARE,EGY,0
TUN,EGY,0
TUR,EGY,0
TKM,EGY,0
UGA,EGY,0
UKR,EGY,0
MKD,EGY,0
GBR,EGY,0
TZA,EGY,0
USA,EGY,0
BFA,EGY,0
UZB,EGY,0
VEN,EGY,0
YEM,EGY,0
ZMB,EGY,0
AFG,LBY,0
ALB,LBY,0
DZA,LBY,0
AUS,LBY,0
AUT,LBY,0
BHR,LBY,0
BGD,LBY,0
ARM,LBY,0
BEL,LBY,0
BIH,LBY,0
BRA,LBY,0
BLR,LBY,0
CAN,LBY,0
LKA,LBY,0
TCD,LBY,0
CHN,LBY,0
COM,LBY,0
COG,LBY,0
COD,LBY,0
DNK,LBY,0
SLV,LBY,0
ETH,LBY,0
ERI,LBY,0
FIN,LBY,0
FRA,LBY,0
DJI,LBY,0
PSE,LBY,0
DEU,LBY,0
GHA,LBY,0
GRC,LBY,0
HUN,LBY,0
IND,LBY,0
IDN,LBY,0
IRN,LBY,0
IRQ,LBY,0
ITA,LBY,0
CIV,LBY,0
JPN,LBY,0
KAZ,LBY,0
JOR,LBY,0
KEN,LBY,0
KOR,LBY,0
KWT,LBY,0
LBN,LBY,0
MYS,LBY,0
MLI,LBY,0
MRT,LBY,0
MCO,LBY,0
MAR,LBY,0
OMN,LBY,0
NLD,LBY,0
NER,LBY,0
NGA,LBY,0
NOR,LBY,0
PAK,LBY,0
PHL,LBY,0
POL,LBY,0
GNB,LBY,0
QAT,LBY,0
ROU,LBY,0
RUS,LBY,0
SAU,LBY,0
SEN,LBY,0
SLE,LBY,0
SGP,LBY,0
SOM,LBY,0
ZAF,LBY,0
ESP,LBY,0
SSD,LBY,0
SDN,LBY,0
SWE,LBY,0
CHE,LBY,0
SYR,LBY,0
TJK,LBY,0
THA,LBY,0
ARE,LBY,0
TUN,LBY,0
TUR,LBY,0
TKM,LBY,0
