iso3,year,conflict_deaths
AFG,1989,5174
AFG,1990,1478
AFG,1991,3302
AFG,1992,4276
AFG,1993,3721
AFG,1994,8937
AFG,1995,5516
AFG,1996,3177
AFG,1997,6396
AFG,1998,6256
AFG,1999,4629
AFG,2000,5235
AFG,2001,3725
AFG,2002,30
AFG,2003,660
AFG,2004,711
AFG,2005,1628
AFG,2006,4734
AFG,2007,6848
AFG,2008,5655
AFG,2009,6390
AFG,2010,7038
AFG,2011,7423
AFG,2012,7730
AFG,2013,8048
AFG,2014,12351
AFG,2015,17260
AFG,2016,17916
AFG,2017,18974
AFG,2018,25679
AFG,2019,29903
AFG,2020,20475
AFG,2021,35593
AFG,2022,870
AFG,2023,223
AGO,1989,2810
AGO,1990,2558
AGO,1991,516
AGO,1992,2346
AGO,1993,12054
AGO,1994,3974
AGO,1995,187
AGO,1996,29
AGO,1997,51
AGO,1998,1066
AGO,1999,2273
AGO,2000,1000
AGO,2001,1123
AGO,2002,521
AGO,2003,25
AGO,2004,25
AGO,2007,25
AGO,2009,25
AGO,2016,25
AGO,2017,25
AGO,2019,25
AGO,2020,25
AGO,2022,25
AUS,2003,7927
AZE,1991,35
AZE,1992,2167
AZE,1993,1231
AZE,1994,1507
AZE,1995,44
AZE,1997,29
AZE,1998,34
AZE,2005,25
AZE,2008,30
AZE,2012,25
AZE,2014,46
AZE,2015,72
AZE,2016,141
AZE,2017,36
AZE,2020,7646
AZE,2021,40
AZE,2022,308
AZE,2023,462
BDI,1991,272
BDI,1992,61
BDI,1994,56
BDI,1995,382
BDI,1996,987
BDI,1997,1159
BDI,1998,843
BDI,1999,781
BDI,2000,1529
BDI,2001,1246
BDI,2002,1293
BDI,2003,912
BDI,2004,433
BDI,2005,298
BDI,2006,141
BDI,2008,226
BDI,2014,56
BDI,2015,185
BDI,2019,61
BDI,2020,139
BDI,2021,26
BDI,2022,242
BDI,2023,92
BEN,2022,30
BEN,2023,28
BFA,2018,79
BFA,2019,349
BFA,2020,512
BFA,2021,991
BFA,2022,2003
BFA,2023,4605
BGD,1989,26
BGD,1990,45
BGD,1991,25
BGD,2005,62
BGD,2006,57
BGD,2016,41
BGD,2017,47
BIH,1992,16882
BIH,1993,13160
BIH,1994,6936
BIH,1995,8549
CAF,2001,195
CAF,2002,131
CAF,2006,46
CAF,2009,28
CAF,2010,25
CAF,2011,44
CAF,2012,45
CAF,2013,376
CAF,2014,136
CAF,2015,27
CAF,2017,35
CAF,2018,103
CAF,2019,51
CAF,2020,57
CAF,2021,906
CAF,2022,675
CAF,2023,261
CHN,2008,36
CHN,2020,25
CIV,2002,661
CIV,2003,140
CIV,2004,47
CIV,2011,98
CMR,1996,56
CMR,2015,995
CMR,2016,221
CMR,2017,98
CMR,2018,754
CMR,2019,693
CMR,2020,429
CMR,2021,581
CMR,2022,406
CMR,2023,359
COD,1996,1288
COD,1997,4465
COD,1998,3343
COD,1999,2953
COD,2000,1294
COD,2001,454
COD,2005,34
COD,2006,182
COD,2007,632
COD,2008,736
COD,2011,82
COD,2012,734
COD,2013,1474
COD,2014,146
COD,2016,506
COD,2017,3491
COD,2018,817
COD,2019,512
COD,2020,985
COD,2021,1018
COD,2022,1458
COD,2023,528
COG,1993,53
COG,1997,10033
COG,1998,3272
COG,1999,626
COG,2002,167
COG,2016,73
COL,1989,238
COL,1990,501
COL,1991,725
COL,1992,1479
COL,1993,182
COL,1994,1123
COL,1995,823
COL,1996,1192
COL,1997,560
COL,1998,939
COL,1999,1374
COL,2000,1870
COL,2001,1864
COL,2002,3392
COL,2003,2078
COL,2004,1355
COL,2005,1389
COL,2006,502
COL,2007,316
COL,2008,244
COL,2009,377
COL,2010,419
COL,2011,202
COL,2012,211
COL,2013,140
COL,2014,119
COL,2015,134
COL,2016,30
COL,2018,131
COL,2019,115
COL,2020,28
COL,2021,113
COL,2022,107
COL,2023,87
COM,1989,29
COM,1997,56
DJI,1991,60
DJI,1992,129
DJI,1993,33
DJI,1994,39
DJI,1999,25
DJI,2008,35
DZA,1991,34
DZA,1992,257
DZA,1993,800
DZA,1994,1916
DZA,1995,3008
DZA,1996,1084
DZA,1997,1403
DZA,1998,3029
DZA,1999,1031
DZA,2000,947
DZA,2001,642
DZA,2002,539
DZA,2003,670
DZA,2004,451
DZA,2005,229
DZA,2006,255
DZA,2007,472
DZA,2008,339
DZA,2009,505
DZA,2010,236
DZA,2011,267
DZA,2012,256
DZA,2013,147
DZA,2014,107
DZA,2015,110
DZA,2016,86
DZA,2017,60
DZA,2018,33
DZA,2020,26
ECU,1995,99
EGY,1993,103
EGY,1994,145
EGY,1995,191
EGY,1996,85
EGY,1997,66
EGY,1998,27
EGY,2014,184
EGY,2015,767
EGY,2016,355
EGY,2017,497
EGY,2018,680
EGY,2019,637
EGY,2020,527
EGY,2021,112
EGY,2022,231
ERI,1997,31
ERI,1998,1000
ERI,1999,47217
ERI,2000,50000
ERI,2003,57
ERI,2008,35
ERI,2016,25
ESP,1991,45
ETH,1989,24358
ETH,1990,49698
ETH,1991,12225
ETH,1992,165
ETH,1993,36
ETH,1994,75
ETH,1995,25
ETH,1996,236
ETH,1998,1050
ETH,1999,47925
ETH,2000,50050
ETH,2001,50
ETH,2002,50
ETH,2003,50
ETH,2004,50
ETH,2005,83
ETH,2006,50
ETH,2007,177
ETH,2008,50
ETH,2009,515
ETH,2010,151
ETH,2011,50
ETH,2012,50
ETH,2013,77
ETH,2014,25
ETH,2015,50
ETH,2016,75
ETH,2019,67
ETH,2020,20916
ETH,2021,124546
ETH,2022,163217
ETH,2023,1677
GBR,1989,38
GBR,1990,44
GBR,1991,26
GBR,1998,29
GBR,2001,1397
GBR,2003,7927
GEO,1991,52
GEO,1992,771
GEO,1993,1763
GEO,2004,27
GEO,2008,621
GIN,2000,217
GIN,2001,432
GNB,1998,505
GNB,1999,199
GTM,1989,82
GTM,1990,83
GTM,1991,72
GTM,1992,67
GTM,1993,58
GTM,1994,37
GTM,1995,27
HRV,1992,4034
HRV,1993,418
HRV,1994,86
HRV,1995,1132
HTI,1989,48
HTI,1991,160
HTI,2004,207
IDN,1990,72
IDN,1991,58
IDN,1992,39
IDN,1997,51
IDN,1998,30
IDN,1999,213
IDN,2000,286
IDN,2001,278
IDN,2002,466
IDN,2003,868
IDN,2004,935
IDN,2005,213
IDN,2018,25
IDN,2021,51
IDN,2022,46
IDN,2023,59
IND,1989,1002
IND,1990,2396
IND,1991,3180
IND,1992,3078
IND,1993,1503
IND,1994,1214
IND,1995,836
IND,1996,838
IND,1997,999
IND,1998,933
IND,1999,2073
IND,2000,3015
IND,2001,1336
IND,2002,2033
IND,2003,1875
IND,2004,1665
IND,2005,1382
IND,2006,1373
IND,2007,1086
IND,2008,1083
IND,2009,1115
IND,2010,1028
IND,2011,439
IND,2012,416
IND,2013,420
IND,2014,491
IND,2015,535
IND,2016,697
IND,2017,757
IND,2018,851
IND,2019,647
IND,2020,651
IND,2021,431
IND,2022,310
IND,2023,215
IRN,1990,31
IRN,1991,45
IRN,1993,186
IRN,1996,27
IRN,1997,38
IRN,1999,28
IRN,2000,40
IRN,2001,119
IRN,2005,28
IRN,2006,57
IRN,2007,86
IRN,2008,121
IRN,2009,133
IRN,2010,74
IRN,2011,242
