iso3,year,net_migration,conflict_deaths,gdp,gdp_growth,internet_usage,liberal_dem,disaster_deaths_per_100k,pop_growth,population,sanctioned,unemployment_youth
ABW,1960,0,NA,NA,NA,NA,NA,NA,NA,54608,NA,NA
ABW,1961,-569,NA,NA,NA,NA,NA,NA,NA,55811,NA,NA
ABW,1962,-609,NA,NA,NA,NA,NA,NA,NA,56682,NA,NA
ABW,1963,-646,NA,NA,NA,NA,NA,NA,NA,57475,NA,NA
ABW,1964,-684,NA,NA,NA,NA,NA,NA,NA,58178,NA,NA
ABW,1965,-726,NA,NA,NA,NA,NA,NA,NA,58782,NA,NA
ABW,1966,-761,NA,NA,NA,NA,NA,NA,NA,59291,NA,NA
ABW,1967,-1175,NA,NA,NA,NA,NA,NA,NA,59522,NA,NA
ABW,1968,-1219,NA,NA,NA,NA,NA,NA,NA,59471,NA,NA
ABW,1969,-1256,NA,NA,NA,NA,NA,NA,NA,59330,NA,NA
ABW,1970,-1280,NA,NA,NA,NA,NA,NA,NA,59106,NA,NA
ABW,1971,-1296,NA,NA,NA,NA,NA,NA,NA,58816,NA,NA
ABW,1972,-552,NA,NA,NA,NA,NA,NA,NA,58855,NA,NA
ABW,1973,-314,NA,NA,NA,NA,NA,NA,NA,59365,NA,NA
ABW,1974,-247,NA,NA,NA,NA,NA,NA,NA,60028,NA,NA
ABW,1975,-281,NA,NA,NA,NA,NA,NA,NA,60715,NA,NA
ABW,1976,-690,NA,NA,NA,NA,NA,NA,NA,61193,NA,NA
ABW,1977,-710,NA,NA,NA,NA,NA,NA,NA,61465,NA,NA
ABW,1978,-727,NA,NA,NA,NA,NA,NA,NA,61738,NA,NA
ABW,1979,-734,NA,NA,NA,NA,NA,NA,NA,62006,NA,NA
ABW,1980,-737,NA,NA,NA,NA,NA,NA,NA,62267,NA,NA
ABW,1981,-551,NA,NA,NA,NA,NA,NA,NA,62614,NA,NA
ABW,1982,-411,NA,NA,NA,NA,NA,NA,NA,63116,NA,NA
ABW,1983,-399,NA,NA,NA,NA,NA,NA,NA,63683,NA,NA
ABW,1984,-536,NA,NA,NA,NA,NA,NA,NA,64174,NA,NA
ABW,1985,-746,NA,NA,NA,NA,NA,NA,NA,64478,NA,NA
ABW,1986,-946,NA,NA,NA,NA,NA,NA,NA,64553,NA,NA
ABW,1987,-1049,NA,NA,NA,NA,NA,NA,NA,64450,NA,NA
ABW,1988,-899,NA,NA,NA,NA,NA,NA,NA,64332,NA,NA
ABW,1989,-185,NA,NA,NA,0,NA,NA,NA,64596,0,NA
ABW,1990,879,NA,764804469.3,3.96140172676478,0,NA,NA,1.712906785,65712,0,NA
ABW,1991,1946,NA,872067039.1,7.96287174444331,0,NA,NA,3.222414529,67864,0,NA
ABW,1992,1294,NA,958659217.9,5.88235395341866,0,NA,NA,3.372864192,70192,0,NA
ABW,1993,1662,NA,1083240223,7.30769324531406,0,NA,NA,3.04193161,72360,0,NA
ABW,1994,1668,NA,1245810056,8.20390129312089,0,NA,NA,3.196029146,74710,0,NA
ABW,1995,1598,NA,1320670391,2.54714368704694,0,NA,NA,3.084060978,77050,0,NA
ABW,1996,1636,NA,1379888268,1.18578851134656,2.768382663,NA,NA,3.025788936,79417,0,NA
ABW,1997,1656,NA,1531843575,7.04687499241221,2.768382663,NA,NA,3.027358768,81858,0,NA
ABW,1998,1786,NA,1665363128,1.99198444906199,2.768382663,NA,NA,3.004804525,84355,0,NA
ABW,1999,1828,NA,1722905028,1.2380418420716,4.506179098,NA,NA,2.934412926,86867,0,NA
ABW,2000,1235,NA,1873452514,7.62292064930222,15.44282295,NA,NA,2.539234444,89101,0,NA
ABW,2001,560,NA,1896456983,4.1820016304779,17.1,NA,NA,1.768756621,90691,0,NA
ABW,2002,350,NA,1961843575,-0.944953481157384,18.8,NA,NA,1.194718055,91781,0,NA
ABW,2003,324,NA,2044111732,1.11050459944282,20.8,NA,NA,0.997395547,92701,0,NA
ABW,2004,315,NA,2254830726,7.29372807096192,23,NA,NA,0.90098923,93540,0,NA
ABW,2005,579,NA,2360017318,-0.383137672063768,25.4,NA,NA,1.003077184,94483,0,NA
ABW,2006,569,NA,2469782682,1.12741146411624,28,NA,NA,1.181565546,95606,0,NA
ABW,2007,621,NA,2677641341,3.0895443848509,30.9,NA,NA,1.227710815,96787,0,NA
ABW,2008,666,NA,2843024581,1.83575517191368,52,NA,NA,1.241397377,97996,0,NA
ABW,2009,703,NA,2553793296,-11.6777413693852,58,NA,NA,1.233231321,99212,0,NA
ABW,2010,498,NA,2453597207,-2.73345679250639,62,NA,NA,1.13154104,100341,0,NA
ABW,2011,315,NA,2637859218,3.36923718421511,69,NA,NA,0.93935591,101288,0,NA
ABW,2012,229,NA,2615208380,-1.04079988436683,74,NA,NA,0.810230588,102112,0,NA
ABW,2013,134,NA,2727849721,6.43148260418822,78.9,NA,NA,0.749301039,102880,0,NA
ABW,2014,88,NA,2790849721,-1.58657513817235,83.78,NA,NA,0.69161526,103594,0,NA
ABW,2015,177,NA,2962907263,-0.623625902371245,88.66122693,NA,NA,0.637959162,104257,0,NA
ABW,2016,170,NA,2983635196,1.71962497989442,93.54245387,NA,NA,0.590062487,104874,0,NA
ABW,2017,218,NA,3092429050,7.04853338603499,97.17,NA,NA,0.537295706,105439,0,NA
ABW,2018,367,NA,3276184358,2.38173018636276,97.17,NA,NA,0.494795263,105962,0,NA
ABW,2019,412,NA,3395798883,-2.3028363027198,97.17,NA,NA,0.451969659,106442,0,NA
ABW,2020,0,NA,2558906304,-23.9825809597131,97.17,NA,NA,0.134255302,106585,0,NA
ABW,2021,501,NA,NA,27.6393569688502,97.17,NA,NA,NA,106537,NA,NA
ABW,2022,164,NA,NA,10.45831735343,97.17,NA,NA,NA,106445,NA,NA
ABW,2023,157,NA,NA,NA,97.17,NA,NA,NA,106277,NA,NA
AFG,1960,2606,NA,NA,NA,NA,NA,NA,NA,8622466,NA,NA
AFG,1961,6109,NA,NA,NA,NA,NA,NA,NA,8790140,NA,NA
AFG,1962,7016,NA,NA,NA,NA,NA,NA,NA,8969047,NA,NA
AFG,1963,6681,NA,NA,NA,NA,NA,NA,NA,9157465,NA,NA
AFG,1964,7079,NA,NA,NA,NA,NA,NA,NA,9355514,NA,NA
AFG,1965,10695,NA,NA,NA,NA,NA,NA,NA,9565147,NA,NA
AFG,1966,3563,NA,NA,NA,NA,NA,NA,NA,9783147,NA,NA
AFG,1967,6824,NA,NA,NA,NA,NA,NA,NA,10010030,NA,NA
AFG,1968,3333,NA,NA,NA,NA,NA,NA,NA,10247780,NA,NA
AFG,1969,2029,NA,NA,NA,NA,NA,NA,NA,10494489,NA,NA
AFG,1970,4458,NA,NA,NA,NA,NA,NA,NA,10752971,NA,NA
AFG,1971,-12801,NA,NA,NA,NA,NA,NA,NA,11015857,NA,NA
AFG,1972,-4050,NA,NA,NA,NA,NA,NA,NA,11286753,NA,NA
AFG,1973,-3030,NA,NA,NA,NA,NA,NA,NA,11575305,NA,NA
AFG,1974,-20009,NA,NA,NA,NA,NA,NA,NA,11869879,NA,NA
AFG,1975,-44418,NA,NA,NA,NA,NA,NA,NA,12157386,NA,NA
AFG,1976,-85430,NA,NA,NA,NA,NA,NA,NA,12425267,NA,NA
AFG,1977,-83115,NA,NA,NA,NA,NA,NA,NA,12687301,NA,NA
AFG,1978,-117186,NA,NA,NA,NA,NA,NA,NA,12938862,NA,NA
AFG,1979,-481199,NA,NA,NA,NA,NA,NA,NA,12986369,NA,NA
AFG,1980,-1205401,NA,NA,NA,NA,NA,NA,NA,12486631,NA,NA
AFG,1981,-2127145,NA,NA,NA,NA,NA,NA,NA,11155195,NA,NA
AFG,1982,-586943,NA,NA,NA,NA,NA,NA,NA,10088289,NA,NA
AFG,1983,-192869,NA,NA,NA,NA,NA,NA,NA,9951449,NA,NA
AFG,1984,322022,NA,NA,NA,NA,NA,NA,NA,10243686,NA,NA
AFG,1985,-210572,NA,NA,NA,NA,NA,NA,NA,10512221,NA,NA
AFG,1986,-427073,NA,NA,NA,NA,NA,NA,NA,10448442,NA,NA
AFG,1987,-402606,NA,NA,NA,NA,NA,NA,NA,10322758,NA,NA
AFG,1988,-89837,NA,NA,NA,NA,NA,NA,NA,10383460,NA,NA
AFG,1989,2683,5174,NA,NA,0,NA,NA,NA,10673168,1,NA
AFG,1990,-666001,1478,NA,NA,0,0.046,1.3464482,0.202433956,10694796,1,NA
AFG,1991,39926,3302,NA,NA,0,0.044,13.2803881,0.469880407,10745167,1,10.205
AFG,1992,1834556,4276,NA,NA,0,0.035,5.09229342,11.52252442,12057433,1,10.197
AFG,1993,1171818,3721,NA,NA,0,0.027,1.606710974,14.96445487,14003760,1,10.215
AFG,1994,665410,8937,NA,NA,0,0.027,1.0352261,9.864262066,15455555,1,10.234
AFG,1995,71824,5516,NA,NA,0,0.026,2.32049492,6.046535552,16418912,1,10.227
AFG,1996,27194,3177,NA,NA,0,0.026,0.4091988,4.10302205,17106595,1,10.209
AFG,1997,6129,6396,NA,NA,0,0.029,0.983764074,3.910605219,17788819,1,10.195
AFG,1998,35740,6256,NA,NA,0,0.029,38.51699822,3.882930605,18493132,1,10.217
AFG,1999,85758,4629,NA,NA,0,0.029,0.36339372,4.077879485,19262847,1,10.23
AFG,2000,-1007135,5235,3521418060,NA,0,0.029,0.04605233,1.443803024,19542982,1,10.233
AFG,2001,-192286,3725,2813571754,-9.43197406761324,0.004722568,0.035,1.74720093,0.742516834,19688632,1,10.232
AFG,2002,1327074,30,3825701439,28.600001161665,0.004561395,0.097,6.195161777,6.449321478,21000256,1,10.211
AFG,2003,388632,660,4520946819,8.83227780288267,0.087891253,0.1,0.604986459,7.541018965,22645130,1,10.189
AFG,2004,-248616,711,5224896719,1.41411799339429,0.10580903,0.105,0.076421588,3.933177688,23553551,1,10.175
AFG,2005,252185,1628,6203256539,11.2297148272859,1.224148084,0.132,2.334994086,3.576508004,24411191,1,10.167
AFG,2006,62684,4734,6971758282,5.35740324748592,2.107123645,0.224,1.501398452,4.139678035,25442944,1,10.172
