iso3,year,gdp
AFG,2000,3521418060
AFG,2001,2813571754
AFG,2002,3825701439
AFG,2003,4520946819
AFG,2004,5224896719
AFG,2005,6203256539
AFG,2006,6971758282
AFG,2007,9747886187
AFG,2008,10109297048
AFG,2009,12416152732
AFG,2010,15856668556
AFG,2011,17805098206
AFG,2012,19907329778
AFG,2013,20146416758
AFG,2014,20497128556
AFG,2015,19134221645
AFG,2016,18116572395
AFG,2017,18753456498
AFG,2018,18053222687
AFG,2019,18799444490
AFG,2020,19955929052
ALB,1990,2028553750
ALB,1991,1099559028
ALB,1992,652174990.8
ALB,1993,1185315468
ALB,1994,1880950864
ALB,1995,2392764853
ALB,1996,3199640815
ALB,1997,2258513974
ALB,1998,2545964541
ALB,1999,3212121651
ALB,2000,3480355258
ALB,2001,3922100794
ALB,2002,4348068242
ALB,2003,5611496257
ALB,2004,7184685782
ALB,2005,8052077248
ALB,2006,8896075005
ALB,2007,10677324853
ALB,2008,12881352894
ALB,2009,12044205550
ALB,2010,11926926616
ALB,2011,12890760315
ALB,2012,12319834195
ALB,2013,12776224497
ALB,2014,13228147516
ALB,2015,11386853113
ALB,2016,11861199831
ALB,2017,13019726212
ALB,2018,15156424015
ALB,2019,15401826127
ALB,2020,15162734205
DZA,1990,62048507531
DZA,1991,45715676428
DZA,1992,48003133347
DZA,1993,49945584453
DZA,1994,42543176829
DZA,1995,41764291672
DZA,1996,46941554225
DZA,1997,48177612042
DZA,1998,48187781984
DZA,1999,48640671735
DZA,2000,54790398570
DZA,2001,59413400924
DZA,2002,61516103406
DZA,2003,73482264191
DZA,2004,91913680985
DZA,2005,107047000000
DZA,2006,123084000000
DZA,2007,142483000000
DZA,2008,180384000000
DZA,2009,150317000000
DZA,2010,177785000000
DZA,2011,218332000000
DZA,2012,227144000000
DZA,2013,229701000000
DZA,2014,238943000000
DZA,2015,187494000000
DZA,2016,180764000000
DZA,2017,189881000000
DZA,2018,194554000000
DZA,2019,193460000000
DZA,2020,164873000000
ASM,2002,512000000
ASM,2003,524000000
ASM,2004,509000000
ASM,2005,500000000
ASM,2006,493000000
ASM,2007,518000000
ASM,2008,560000000
ASM,2009,675000000
ASM,2010,573000000
ASM,2011,570000000
ASM,2012,640000000
ASM,2013,638000000
ASM,2014,643000000
ASM,2015,673000000
ASM,2016,671000000
ASM,2017,612000000
ASM,2018,639000000
ASM,2019,647000000
ASM,2020,721000000
AND,1990,1028989692
AND,1991,1106891362
AND,1992,1209992020
AND,1993,1007090270
AND,1994,1017544069
AND,1995,1178745283
AND,1996,1224024139
AND,1997,1180645572
AND,1998,1211953994
AND,1999,1240295103
AND,2000,1432606189
AND,2001,1548265808
AND,2002,1764279824
AND,2003,2366941809
AND,2004,2900245324
AND,2005,3161084091
AND,2006,3459337986
AND,2007,3957625367
AND,2008,4102319399
AND,2009,3688976341
AND,2010,3449925739
AND,2011,3629133574
AND,2012,3188652765
AND,2013,3193512950
AND,2014,3271685597
AND,2015,2789881259
AND,2016,2896610480
AND,2017,3000162081
AND,2018,3218419897
AND,2019,3155149348
AND,2020,2891001149
AGO,1993,5880000000
AGO,1994,4432026144
AGO,1995,5538657322
AGO,1996,6535458385
AGO,1997,7675423799
AGO,1998,6506387247
AGO,1999,6152923310
AGO,2000,9129594970
AGO,2001,8936079118
AGO,2002,15285592370
AGO,2003,17812704586
AGO,2004,23552057679
AGO,2005,36970900884
AGO,2006,52381025141
AGO,2007,65266415494
AGO,2008,88538665085
AGO,2009,70307196182
AGO,2010,83799474070
AGO,2011,111790000000
AGO,2012,128053000000
AGO,2013,132339000000
AGO,2014,135967000000
AGO,2015,90496420507
AGO,2016,52761617226
AGO,2017,73690154991
AGO,2018,79450688259
AGO,2019,70897962732
AGO,2020,48501561204
ATG,1990,478692592.6
ATG,1991,504307407.4
ATG,1992,525103703.7
ATG,1993,565633333.3
ATG,1994,625051851.9
ATG,1995,616014814.8
ATG,1996,679111111.1
ATG,1997,734392592.6
ATG,1998,789762963
ATG,1999,835514814.8
ATG,2000,900551851.9
ATG,2001,877514814.8
ATG,2002,897988888.9
ATG,2003,947955555.6
ATG,2004,1026181481
ATG,2005,1143714815
ATG,2006,1303548148
ATG,2007,1487300000
ATG,2008,1557540741
ATG,2009,1386444444
ATG,2010,1298255556
ATG,2011,1281337037
ATG,2012,1327107407
ATG,2013,1325425926
ATG,2014,1378829630
ATG,2015,1437755556
ATG,2016,1489692593
ATG,2017,1531151852
ATG,2018,1661529630
ATG,2019,1725351852
ATG,2020,1410796296
ARG,1990,141353000000
ARG,1991,189720000000
ARG,1992,228779000000
ARG,1993,236742000000
ARG,1994,257440000000
ARG,1995,258032000000
ARG,1996,272150000000
ARG,1997,292859000000
ARG,1998,298948000000
ARG,1999,283523000000
ARG,2000,284204000000
ARG,2001,268697000000
ARG,2002,97724004252
ARG,2003,127587000000
ARG,2004,164658000000
ARG,2005,198737000000
ARG,2006,232557000000
ARG,2007,287531000000
ARG,2008,361558000000
ARG,2009,332976000000
ARG,2010,423627000000
ARG,2011,530158000000
ARG,2012,545982000000
ARG,2013,552025000000
ARG,2014,526320000000
ARG,2015,594749000000
ARG,2016,557532000000
ARG,2017,643628000000
ARG,2018,524820000000
ARG,2019,447755000000
ARG,2020,385741000000
ARM,1990,2256863449
ARM,1991,2069870130
ARM,1992,1272835453
ARM,1993,1201312829
ARM,1994,1315158637
ARM,1995,1468317435
ARM,1996,1596968946
ARM,1997,1639492445
ARM,1998,1893726437
ARM,1999,1845482173
ARM,2000,1911563669
ARM,2001,2118467913
ARM,2002,2376335048
ARM,2003,2807061009
ARM,2004,3576615240
ARM,2005,4900469511
ARM,2006,6384452067
ARM,2007,9206301270
ARM,2008,11662040714
ARM,2009,8647937081
ARM,2010,9260285756
ARM,2011,10142111825
ARM,2012,10619320683
ARM,2013,11121464437
ARM,2014,11609513247
ARM,2015,10553337518
ARM,2016,10546136236
ARM,2017,11527458709
ARM,2018,12457940695
ARM,2019,13619290539
ARM,2020,12641698583
ABW,1990,764804469.3
ABW,1991,872067039.1
ABW,1992,958659217.9
ABW,1993,1083240223
ABW,1994,1245810056
ABW,1995,1320670391
ABW,1996,1379888268
ABW,1997,1531843575
ABW,1998,1665363128
ABW,1999,1722905028
ABW,2000,1873452514
ABW,2001,1896456983
ABW,2002,1961843575
ABW,2003,2044111732
ABW,2004,2254830726
ABW,2005,2360017318
ABW,2006,2469782682
ABW,2007,2677641341
ABW,2008,2843024581
ABW,2009,2553793296
ABW,2010,2453597207
ABW,2011,2637859218
ABW,2012,2615208380
ABW,2013,2727849721
ABW,2014,2790849721
ABW,2015,2962907263
ABW,2016,2983635196
ABW,2017,3092429050
ABW,2018,3276184358
ABW,2019,3395798883
ABW,2020,2558906304
AUS,1990,311421000000
AUS,1991,325967000000
AUS,1992,325518000000
AUS,1993,312128000000
AUS,1994,322802000000
AUS,1995,368166000000
AUS,1996,401342000000
AUS,1997,435643000000
AUS,1998,399674000000
AUS,1999,389652000000
AUS,2000,416168000000
AUS,2001,379629000000
AUS,2002,395789000000
AUS,2003,467739000000
AUS,2004,614660000000
AUS,2005,695693000000
AUS,2006,748418000000
AUS,2007,855007000000
AUS,2008,1056110000000
AUS,2009,928762000000
AUS,2010,1148890000000
AUS,2011,1398700000000
AUS,2012,1547650000000
AUS,2013,1577300000000
AUS,2014,1468600000000
AUS,2015,1351770000000
AUS,2016,1207580000000
AUS,2017,1326880000000
AUS,2018,1429730000000
AUS,2019,1394670000000
AUS,2020,1330380000000
AUT,1990,166463000000
AUT,1991,173794000000
AUT,1992,195078000000
AUT,1993,190380000000
AUT,1994,203535000000
AUT,1995,241038000000
AUT,1996,237251000000
AUT,1997,212790000000
AUT,1998,218260000000
AUT,1999,217259000000
AUT,2000,197290000000
AUT,2001,197509000000
AUT,2002,214395000000
AUT,2003,262274000000
AUT,2004,301458000000
AUT,2005,316092000000
AUT,2006,336280000000
AUT,2007,389186000000
AUT,2008,432052000000
AUT,2009,401759000000
AUT,2010,392275000000
AUT,2011,431685000000
AUT,2012,409402000000
AUT,2013,430191000000
AUT,2014,442585000000
AUT,2015,381971000000
AUT,2016,395837000000
AUT,2017,417261000000
AUT,2018,454991000000
AUT,2019,444596000000
AUT,2020,435049000000
AZE,1990,8884848485
AZE,1991,5344000000
AZE,1992,444658671.6
AZE,1993,1570392598
AZE,1994,1193141110
AZE,1995,2417331193
AZE,1996,3176507376
AZE,1997,3962362387
AZE,1998,4446368571
AZE,1999,4581248567
AZE,2000,5272615723
AZE,2001,5707616204
AZE,2002,6236087738
AZE,2003,7276413079
AZE,2004,8680405741
AZE,2005,13245421881
AZE,2006,20981929498
AZE,2007,33049419431
AZE,2008,48851293785
AZE,2009,44292427185
AZE,2010,52909294792
AZE,2011,65952796428
AZE,2012,69679944504
AZE,2013,74160560124
AZE,2014,75239785452
AZE,2015,53076235355
AZE,2016,37866996883
AZE,2017,40866627352
AZE,2018,47112470052
AZE,2019,48174235294
AZE,2020,42693000000
BHS,1990,3166000000
BHS,1991,3111160000
BHS,1992,3109000000
BHS,1993,3092000000
BHS,1994,3259000000
BHS,1995,3429000000
BHS,1996,3609000000
BHS,1997,6332360000
BHS,1998,6833220000
BHS,1999,7683870000
BHS,2000,8076470000
BHS,2001,8317830000
BHS,2002,8881160000
BHS,2003,8870090000
BHS,2004,9055290000
BHS,2005,9836200000
BHS,2006,10167250000
BHS,2007,10618340000
BHS,2008,10526000000
BHS,2009,9981960000
BHS,2010,10095760000
BHS,2011,10070450000
BHS,2012,10720500000
BHS,2013,10395800000
BHS,2014,10974100000
BHS,2015,11671900000
BHS,2016,11745100000
BHS,2017,12236700000
BHS,2018,12615800000
BHS,2019,13016200000
BHS,2020,9958200000
BHR,1990,4809511005
BHR,1991,5248911170
BHR,1992,5402232447
BHR,1993,5913001064
BHR,1994,6330627926
BHR,1995,6651180851
BHR,1996,6938166755
BHR,1997,7219407713
BHR,1998,7031309043
BHR,1999,7528469149
BHR,2000,9062898936
BHR,2001,8976196809
BHR,2002,9593510638
BHR,2003,11074813830
BHR,2004,13150159574
BHR,2005,15968723404
BHR,2006,18504760638
BHR,2007,21730000000
BHR,2008,25710904255
BHR,2009,22938218085
BHR,2010,25713271277
BHR,2011,28776595745
BHR,2012,30749308511
BHR,2013,32539468085
BHR,2014,33387712766
BHR,2015,31125851064
BHR,2016,32250132979
BHR,2017,35423643617
BHR,2018,37802005319
BHR,2019,38653318085
BHR,2020,34621807713
BGD,1990,31598340778
BGD,1991,30957483950
BGD,1992,31708874594
BGD,1993,33166519418
BGD,1994,33768660883
BGD,1995,37939748769
BGD,1996,46438484108
BGD,1997,48244309133
BGD,1998,49984559471
BGD,1999,51270569884
BGD,2000,53369787319
BGD,2001,53991289844
BGD,2002,54724081491
BGD,2003,60158929188
BGD,2004,65108544250
BGD,2005,69476001430
BGD,2006,71795735672
BGD,2007,79611644984
BGD,2008,91636997445
BGD,2009,102475000000
BGD,2010,115276000000
BGD,2011,128607000000
BGD,2012,133311000000
BGD,2013,149999000000
BGD,2014,172887000000
BGD,2015,195147000000
BGD,2016,265225000000
BGD,2017,293732000000
BGD,2018,321363000000
BGD,2019,351232000000
BGD,2020,373979000000
BRB,1990,2012131457
BRB,1991,2020583702
BRB,1992,1957000000
BRB,1993,2063342117
BRB,1994,2151344901
BRB,1995,2216974096
BRB,1996,2363645403
BRB,1997,2498384130
BRB,1998,2817083478
BRB,1999,2951822205
BRB,2000,3059500000
BRB,2001,3054500000
BRB,2002,3106500000
BRB,2003,3209500000
BRB,2004,3444500000
BRB,2005,3819500000
BRB,2006,4217323400
BRB,2007,4675767950
BRB,2008,4790410400
BRB,2009,4466809600
BRB,2010,4534772750
BRB,2011,4662343500
BRB,2012,4622687600
BRB,2013,4693452700
BRB,2014,4711838650
BRB,2015,4738650450
BRB,2016,4848210350
BRB,2017,5000457800
BRB,2018,5128345200
BRB,2019,5367139250
BRB,2020,4779756550
BLR,1992,9200000000
BLR,1993,16416666667
