iso3,year,internet_usage
ABW,1989,0
ABW,1990,0
ABW,1991,0
ABW,1992,0
ABW,1993,0
ABW,1994,0
ABW,1995,0
ABW,1996,2.768382663
ABW,1997,2.768382663
ABW,1998,2.768382663
ABW,1999,4.506179098
ABW,2000,15.44282295
ABW,2001,17.1
ABW,2002,18.8
ABW,2003,20.8
ABW,2004,23
ABW,2005,25.4
ABW,2006,28
ABW,2007,30.9
ABW,2008,52
ABW,2009,58
ABW,2010,62
ABW,2011,69
ABW,2012,74
ABW,2013,78.9
ABW,2014,83.78
ABW,2015,88.66122693
ABW,2016,93.54245387
ABW,2017,97.17
ABW,2018,97.17
ABW,2019,97.17
ABW,2020,97.17
ABW,2021,97.17
ABW,2022,97.17
ABW,2023,97.17
AFE,1989,0
AFE,1990,0
AFE,1991,0.001732302
AFE,1992,0.005040808
AFE,1993,0.014629494
AFE,1994,0.031709734
AFE,1995,0.086496311
AFE,1996,0.112752212
AFE,1997,0.213192402
AFE,1998,0.386772417
AFE,1999,0.569512051
AFE,2000,0.774217555
AFE,2001,0.961552005
AFE,2002,1.131629443
AFE,2003,1.430398355
AFE,2004,1.716046675
AFE,2005,1.805523142
AFE,2006,2.058101768
AFE,2007,2.773273826
AFE,2008,2.694149781
AFE,2009,3.207416172
AFE,2010,5.296973614
AFE,2011,6.802750221
AFE,2012,8.534750117
AFE,2013,10.12694547
AFE,2014,12.23771579
AFE,2015,14.48584915
AFE,2016,15.75332982
AFE,2017,17.31098687
AFE,2018,20.06302426
AFE,2019,22.58959071
AFE,2020,24.98840087
AFE,2021,27.66065378
AFE,2022,27.66065378
AFE,2023,27.66065378
AFG,1989,0
AFG,1990,0
AFG,1991,0
AFG,1992,0
AFG,1993,0
AFG,1994,0
AFG,1995,0
AFG,1996,0
AFG,1997,0
AFG,1998,0
AFG,1999,0
AFG,2000,0
AFG,2001,0.004722568
AFG,2002,0.004561395
AFG,2003,0.087891253
AFG,2004,0.10580903
AFG,2005,1.224148084
AFG,2006,2.107123645
AFG,2007,1.9
AFG,2008,1.84
AFG,2009,3.55
AFG,2010,4
AFG,2011,5
AFG,2012,5.454545455
AFG,2013,5.9
AFG,2014,7
AFG,2015,8.26
AFG,2016,11
AFG,2017,13.5
AFG,2018,16.8
AFG,2019,17.6
AFG,2020,18.4
AFG,2021,18.4
AFG,2022,18.4
AFG,2023,18.4
AFW,1989,0
AFW,1990,0
AFW,1991,0
AFW,1992,0
AFW,1993,0
AFW,1994,4.37347303003985e-6
AFW,1995,1.32938e-4
AFW,1996,0.007017888
AFW,1997,0.019945459
AFW,1998,0.035648334
AFW,1999,0.086583273
AFW,2000,0.139444899
AFW,2001,0.210153124
AFW,2002,0.412121735
AFW,2003,0.657937929
AFW,2004,1.176318257
AFW,2005,2.322415814
AFW,2006,3.458340893
AFW,2007,4.233398858
AFW,2008,4.98553995
AFW,2009,5.803736218
AFW,2010,7.242530152
AFW,2011,8.664935956
AFW,2012,10.2936545
AFW,2013,12.5777558
AFW,2014,14.92344071
AFW,2015,18.10948504
AFW,2016,22.86974961
