iso1,iso2,common_official_language,common_spoken_language,linguistic_proximity
AFG,ALB,0,0,0.25
AFG,DZA,0,0,0
AFG,AND,0,0,0.25
AFG,AGO,0,0,0.25
AFG,AIA,0,0,0.25
AFG,ATG,0,0,0.25
AFG,ARG,0,0,0.25
AFG,ARM,0,0.001500000013038516,0.25
AFG,ABW,0,0,0.25
AFG,AUS,0,0,0.25
AFG,AUT,0,0,0.25
AFG,AZE,0,0.029400000348687172,0
AFG,BHS,0,0,0.25
AFG,BHR,0,0.029999999329447746,0
AFG,BGD,0,0,0.5
AFG,BRB,0,0,0.25
AFG,BLR,0,0,0.25
AFG,BLX,0,2.730000123847276e-4,0.25
AFG,BLZ,0,0,0.25
AFG,BEN,0,0,0
AFG,BMU,0,0,0.25
AFG,BTN,0,0,0.22499999403953552
AFG,BOL,0,0,0.13500000536441803
AFG,BIH,0,0,0.25
AFG,BRA,0,0,0.25
AFG,VGB,0,0,0.25
AFG,BRN,0,0,0
AFG,BGR,0,0.003000000026077032,0.25
AFG,BFA,0,0,0
AFG,BDI,0,0,0
AFG,KHM,0,0,0
AFG,CMR,0,0,0
AFG,CAN,0,0,0.25
AFG,CPV,0,0,0.25
AFG,CYM,0,0,0.25
AFG,CAF,0,0,0
AFG,TCD,0,0,0
AFG,CHL,0,0,0.25
AFG,CHN,0,0,0
AFG,HKG,0,0,0
AFG,COL,0,0,0.25
AFG,COM,0,0,0
AFG,COG,0,0,0
AFG,COK,0,0,0
AFG,CRI,0,0,0.25
AFG,HRV,0,0,0.25
AFG,CUB,0,0,0.25
AFG,CYP,0,0.006000000052154064,0.19750000536441803
AFG,CZE,0,0,0.25
AFG,CIV,0,0,0
AFG,COD,0,0,0
AFG,DNK,0,0,0.25
AFG,DJI,0,0,0
AFG,DMA,0,0,0.25
AFG,DOM,0,0,0.25
AFG,ECU,0,0,0.25
AFG,EGY,0,0,0
AFG,SLV,0,0,0.25
AFG,ERI,0,0,0
AFG,EST,0,0,0.042500000447034836
AFG,FLK,0,0,0.25
AFG,FJI,0,0,0.25
AFG,FIN,0,0,0
AFG,FRA,0,0,0.25
AFG,GAB,0,0,0
AFG,GMB,0,0,0
AFG,GEO,0,0.0023999998811632395,0
AFG,DEU,0,5.999999702908099e-4,0.25
AFG,GHA,0,0,0
AFG,GIB,0,0,0.25
AFG,GRC,0,0,0.25
AFG,GRL,0,0,0.25
AFG,GRD,0,0,0.25
AFG,GTM,0,0,0.25
AFG,GIN,0,0,0
AFG,GNB,0,0,0
AFG,GUY,0,0,0.25
AFG,HTI,0,0,0.25
AFG,HND,0,0,0.25
AFG,HUN,0,0,0
AFG,ISL,0,0,0.25
AFG,IND,0,0,0
AFG,IDN,0,0,0
