iso3,year,liberal_dem
AFG,1990,0.046
AFG,1991,0.044
AFG,1992,0.035
AFG,1993,0.027
AFG,1994,0.027
AFG,1995,0.026
AFG,1996,0.026
AFG,1997,0.029
AFG,1998,0.029
AFG,1999,0.029
AFG,2000,0.029
AFG,2001,0.035
AFG,2002,0.097
AFG,2003,0.1
AFG,2004,0.105
AFG,2005,0.132
AFG,2006,0.224
AFG,2007,0.226
AFG,2008,0.23
AFG,2009,0.228
AFG,2010,0.223
AFG,2011,0.224
AFG,2012,0.226
AFG,2013,0.228
AFG,2014,0.228
AFG,2015,0.225
AFG,2016,0.208
AFG,2017,0.209
AFG,2018,0.199
AFG,2019,0.184
AFG,2020,0.191
AGO,1990,0.051
AGO,1991,0.056
AGO,1992,0.078
AGO,1993,0.078
AGO,1994,0.078
AGO,1995,0.079
AGO,1996,0.079
AGO,1997,0.079
AGO,1998,0.079
AGO,1999,0.079
AGO,2000,0.08
AGO,2001,0.081
AGO,2002,0.083
AGO,2003,0.09
AGO,2004,0.092
AGO,2005,0.094
AGO,2006,0.094
AGO,2007,0.094
AGO,2008,0.099
AGO,2009,0.106
AGO,2010,0.106
AGO,2011,0.132
AGO,2012,0.131
AGO,2013,0.134
AGO,2014,0.134
AGO,2015,0.134
AGO,2016,0.134
AGO,2017,0.15
AGO,2018,0.177
AGO,2019,0.184
AGO,2020,0.182
ALB,1990,0.074
ALB,1991,0.267
ALB,1992,0.336
ALB,1993,0.323
ALB,1994,0.339
ALB,1995,0.348
ALB,1996,0.323
ALB,1997,0.312
ALB,1998,0.328
ALB,1999,0.334
ALB,2000,0.345
ALB,2001,0.369
ALB,2002,0.396
ALB,2003,0.399
ALB,2004,0.405
ALB,2005,0.427
ALB,2006,0.447
ALB,2007,0.453
ALB,2008,0.451
ALB,2009,0.452
ALB,2010,0.448
ALB,2011,0.449
ALB,2012,0.449
ALB,2013,0.436
ALB,2014,0.442
ALB,2015,0.442
ALB,2016,0.443
ALB,2017,0.441
ALB,2018,0.432
ALB,2019,0.432
ALB,2020,0.447
ARE,1990,0.055
ARE,1991,0.055
ARE,1992,0.055
ARE,1993,0.055
ARE,1994,0.067
ARE,1995,0.068
ARE,1996,0.071
ARE,1997,0.071
ARE,1998,0.071
ARE,1999,0.071
ARE,2000,0.071
ARE,2001,0.071
ARE,2002,0.071
ARE,2003,0.07
ARE,2004,0.068
ARE,2005,0.069
ARE,2006,0.072
ARE,2007,0.08
ARE,2008,0.08
ARE,2009,0.081
ARE,2010,0.082
ARE,2011,0.08
ARE,2012,0.086
ARE,2013,0.087
ARE,2014,0.088
ARE,2015,0.09
ARE,2016,0.091
ARE,2017,0.092
ARE,2018,0.094
