iso3,year,disaster_deaths_per_100k
AFG,2000,0.04605233
AFG,2001,1.74720093
AFG,2002,6.195161777
AFG,2006,1.501398452
AFG,2008,4.983501
AFG,2011,0.283768866
AFG,2018,0.308012803
AFG,2019,0.55865187
AFG,2021,0.987544482
AFG,2022,3.24590293
AFG,2023,6.34945338
AFG,1991,13.2803881
AFG,1992,5.09229342
AFG,1995,2.32049492
AFG,1996,0.4091988
AFG,1997,0.983764074
AFG,1998,38.51699822
AFG,1999,0.36339372
AFG,2003,0.604986459
AFG,2004,0.076421588
AFG,2005,2.334994086
AFG,2007,1.1427113
AFG,2009,0.36881087
AFG,2010,1.241589484
AFG,2012,1.24070765
AFG,2013,0.491420508
AFG,2014,1.75753827
AFG,2015,1.32134443
AFG,2016,0.24252075
AFG,2017,0.634058116
AFG,2020,0.84162482
AFG,2024,0.244391944
AFG,1994,1.0352261
AFG,1993,1.606710974
AFG,1990,1.3464482
ALB,1989,0
ALB,1990,0
ALB,1991,0
ALB,1992,0.3329562
ALB,1995,0.121788956
ALB,1997,0
ALB,2002,0.224103703
ALB,2004,0.097955056
ALB,2005,0.164873064
ALB,2009,0
ALB,2010,0
ALB,2015,0.034692325
ALB,2016,0.069418795
ALB,2017,0.243109498
ALB,2018,0
ALB,2021,0
ALB,1998,0
ALB,2019,1.7746025
ALB,2007,0
ALB,2012,0.17287931
ALB,2022,12.384258
DZA,1992,0.07850966
DZA,1993,0.135261974
DZA,1994,0.83401923
DZA,1996,0.013800413
DZA,1997,0.013570349
DZA,1999,0.11204081
DZA,2000,0.155972661
DZA,2001,2.95183
DZA,2002,0.1517801
DZA,2003,7.39021941
DZA,2004,0.067671105
DZA,2005,0.066754276
DZA,2006,0.014954353
DZA,2007,0.264831783
DZA,2008,0.26902255
DZA,2009,0.13637897
DZA,2011,0.027364612
DZA,2012,0.18518236
DZA,2015,0.030346598
DZA,2018,0.014310584
DZA,2021,0.233147915
DZA,2023,0.092092178
DZA,2024,0
DZA,1989,0.08839063
DZA,2014,0.015479809
DZA,2020,0
DZA,2017,0
DZA,2019,0.018733006
DZA,2022,0.0979885
ASM,2003,10.351609
ASM,2009,61.387356
ASM,1989,0
ASM,2004,0
ASM,2005,0
AGO,1989,0
AGO,1990,0
AGO,1991,0
AGO,1992,0
AGO,1997,0
AGO,1998,0
AGO,2001,0.67880312
AGO,2004,0.14916524
AGO,2005,0
AGO,2012,0
AGO,2013,0.03442076
AGO,2017,0.03641343
AGO,2020,0.10470111
AGO,2021,0.06376114
AGO,2022,0
AGO,2000,0.35988628
AGO,2002,0.045672163
AGO,2003,0.08276161
AGO,2006,0
AGO,2007,0.5021595
AGO,2008,0.03227067
AGO,2009,0.2754616
AGO,2010,0.10700133
AGO,2011,0.5358809
AGO,2015,0.26664084
AGO,2016,0.38758704
AGO,2018,0.025580732
AGO,2019,0.21326844
AGO,2023,0.22898135
AIA,1999,0
AIA,2017,26.595745
ATG,1989,3.1418383
ATG,1990,0
ATG,1995,2.92325
ATG,1998,2.7552383
ATG,1999,2.7088158
ATG,2008,0
ATG,2010,0
ATG,2017,1.0972973
ARG,2003,0.101885765
ARG,2009,0.056532804
ARG,2018,0.004503126
ARG,2019,0.017878887
ARG,2020,0.011102222
ARG,2021,0.041964107
ARG,1990,0.06434285
ARG,1992,0.13405512
ARG,1993,0.04408233
ARG,1995,0.01716929
ARG,1997,0
ARG,1998,0.052438103
ARG,2000,0.09980909
ARG,2001,0.093381908
ARG,2002,0.018476958
