iso3,year,pop_growth
ABW,1990,1.712906785
ABW,1991,3.222414529
ABW,1992,3.372864192
ABW,1993,3.04193161
ABW,1994,3.196029146
ABW,1995,3.084060978
ABW,1996,3.025788936
ABW,1997,3.027358768
ABW,1998,3.004804525
ABW,1999,2.934412926
ABW,2000,2.539234444
ABW,2001,1.768756621
ABW,2002,1.194718055
ABW,2003,0.997395547
ABW,2004,0.90098923
ABW,2005,1.003077184
ABW,2006,1.181565546
ABW,2007,1.227710815
ABW,2008,1.241397377
ABW,2009,1.233231321
ABW,2010,1.13154104
ABW,2011,0.93935591
ABW,2012,0.810230588
ABW,2013,0.749301039
ABW,2014,0.69161526
ABW,2015,0.637959162
ABW,2016,0.590062487
ABW,2017,0.537295706
ABW,2018,0.494795263
ABW,2019,0.451969659
ABW,2020,0.134255302
AFE,1990,2.911012866
AFE,1991,2.792410358
AFE,1992,2.633682259
AFE,1993,2.658526402
AFE,1994,2.619954544
AFE,1995,2.62710703
AFE,1996,2.693097728
AFE,1997,2.580384122
AFE,1998,2.514653934
AFE,1999,2.559662482
AFE,2000,2.583579242
AFE,2001,2.5899606
AFE,2002,2.606598026
AFE,2003,2.617764284
AFE,2004,2.64496843
AFE,2005,2.666241587
AFE,2006,2.702521121
AFE,2007,2.747108851
AFE,2008,2.765815976
AFE,2009,2.755745298
AFE,2010,2.757929142
AFE,2011,2.738184845
AFE,2012,2.740404834
AFE,2013,2.780206834
AFE,2014,2.774990291
AFE,2015,2.802585821
AFE,2016,2.72815853
AFE,2017,2.655671599
AFE,2018,2.688371428
AFE,2019,2.691134381
AFE,2020,2.678183716
AFG,1990,0.202433956
AFG,1991,0.469880407
AFG,1992,11.52252442
AFG,1993,14.96445487
AFG,1994,9.864262066
AFG,1995,6.046535552
AFG,1996,4.10302205
AFG,1997,3.910605219
AFG,1998,3.882930605
AFG,1999,4.077879485
AFG,2000,1.443803024
AFG,2001,0.742516834
AFG,2002,6.449321478
AFG,2003,7.541018965
AFG,2004,3.933177688
AFG,2005,3.576508004
AFG,2006,4.139678035
AFG,2007,1.793195727
AFG,2008,2.002333262
AFG,2009,3.561288374
AFG,2010,2.894904104
AFG,2011,3.689508302
AFG,2012,4.077627729
AFG,2013,3.466788304
AFG,2014,3.657576065
AFG,2015,3.121341229
AFG,2016,2.581549399
AFG,2017,2.866492148
AFG,2018,2.885207973
AFG,2019,2.908529093
AFG,2020,3.134746908
AFW,1990,2.6549310249999998
AFW,1991,2.628368798
AFW,1992,2.730420957
AFW,1993,2.671362645
AFW,1994,2.630609706
AFW,1995,2.693235279
AFW,1996,2.687499414
AFW,1997,2.689028905
AFW,1998,2.721940716
AFW,1999,2.706291307
AFW,2000,2.749599719
AFW,2001,2.799653523
AFW,2002,2.811452689
AFW,2003,2.816480646
AFW,2004,2.828642233
AFW,2005,2.84121122
AFW,2006,2.832779745
AFW,2007,2.828409299
AFW,2008,2.832916151
AFW,2009,2.844037202
AFW,2010,2.846535741
AFW,2011,2.848825772
AFW,2012,2.812850935
AFW,2013,2.761838977
AFW,2014,2.750730568
AFW,2015,2.723317337
AFW,2016,2.71305851
