iso3,year,sanctioned
BEL,1989,1
BEL,1990,1
BEL,1991,1
BEL,1992,1
BEL,1993,1
BEL,1994,1
BEL,1995,1
BEL,1996,1
BEL,1997,1
BEL,1998,1
BEL,1999,1
BEL,2000,1
BEL,2001,1
BEL,2002,1
BEL,2003,1
BEL,2004,1
BEL,2005,1
BEL,2006,1
BEL,2007,1
BEL,2008,1
BEL,2009,1
BEL,2010,1
BEL,2011,1
BEL,2012,1
BEL,2013,1
BEL,2014,1
BEL,2015,1
BEL,2016,1
BEL,2017,1
BEL,2018,1
BEL,2019,1
BEL,2020,1
COD,1989,1
COD,1990,1
COD,1991,1
COD,1992,1
COD,1993,1
COD,1994,1
COD,1995,1
COD,1996,1
COD,1997,1
COD,1998,1
COD,1999,1
COD,2000,1
COD,2001,1
COD,2002,1
COD,2003,1
COD,2004,1
COD,2005,1
COD,2006,1
COD,2007,1
COD,2008,1
COD,2009,1
COD,2010,1
COD,2011,1
COD,2012,1
COD,2013,1
COD,2014,1
COD,2015,1
COD,2016,1
COD,2017,1
COD,2018,1
COD,2019,1
COD,2020,1
FRA,1989,1
FRA,1990,1
FRA,1991,1
FRA,1992,1
FRA,1993,1
FRA,1994,1
FRA,1995,1
FRA,1996,1
FRA,1997,1
FRA,1998,1
FRA,1999,1
FRA,2000,1
FRA,2001,1
FRA,2002,1
FRA,2003,1
FRA,2004,1
FRA,2005,1
FRA,2006,1
FRA,2007,1
FRA,2008,1
FRA,2009,1
FRA,2010,1
FRA,2011,1
FRA,2012,1
FRA,2013,1
FRA,2014,1
FRA,2015,1
FRA,2016,1
FRA,2017,1
FRA,2018,1
FRA,2019,1
FRA,2020,1
KEN,1989,1
KEN,1990,1
KEN,1991,1
KEN,1992,1
KEN,1993,1
KEN,1994,1
KEN,1995,1
KEN,1996,1
KEN,1997,1
KEN,1998,1
KEN,1999,1
KEN,2000,1
KEN,2001,1
KEN,2002,1
KEN,2003,1
KEN,2004,1
KEN,2005,1
KEN,2006,1
KEN,2007,1
KEN,2008,1
KEN,2009,1
KEN,2010,1
KEN,2011,1
KEN,2012,1
KEN,2013,1
KEN,2014,1
KEN,2015,1
KEN,2016,1
KEN,2017,1
KEN,2018,1
KEN,2019,1
KEN,2020,1
RWA,1989,1
RWA,1990,1
RWA,1991,1
RWA,1992,1
RWA,1993,1
RWA,1994,1
RWA,1995,1
RWA,1996,1
RWA,1997,1
RWA,1998,1
RWA,1999,1
RWA,2000,1
RWA,2001,1
RWA,2002,1
RWA,2003,1
RWA,2004,1
RWA,2005,1
RWA,2006,1
RWA,2007,1
RWA,2008,1
RWA,2009,1
RWA,2010,1
RWA,2011,1
RWA,2012,1
RWA,2013,1
RWA,2014,1
RWA,2015,1
RWA,2016,1
RWA,2017,1
RWA,2018,1
RWA,2019,1
RWA,2020,1
UGA,1989,1
UGA,1990,1
UGA,1991,1
UGA,1992,1
UGA,1993,1
UGA,1994,1
UGA,1995,1
UGA,1996,1
UGA,1997,1
UGA,1998,1
UGA,1999,1
UGA,2000,1
UGA,2001,1
UGA,2002,1
UGA,2003,1
UGA,2004,1
UGA,2005,1
UGA,2006,1
UGA,2007,1
UGA,2008,1
UGA,2009,1
UGA,2010,1
UGA,2011,1
UGA,2012,1
UGA,2013,1
UGA,2014,1
UGA,2015,1
UGA,2016,1
UGA,2017,1
UGA,2018,1
UGA,2019,1
UGA,2020,1
TZA,1989,1
TZA,1990,1
TZA,1991,1
TZA,1992,1
TZA,1993,1
TZA,1994,1
TZA,1995,1
TZA,1996,1
TZA,1997,1
TZA,1998,1
TZA,1999,1
TZA,2000,1
TZA,2001,1
TZA,2002,1
TZA,2003,1
TZA,2004,1
TZA,2005,1
TZA,2006,1
TZA,2007,1
TZA,2008,1
TZA,2009,1
TZA,2010,1
TZA,2011,1
TZA,2012,1
TZA,2013,1
TZA,2014,1
TZA,2015,1
TZA,2016,1
TZA,2017,1
TZA,2018,1
TZA,2019,1
TZA,2020,1
MDG,1989,1
MDG,1990,1
MDG,1991,1
MDG,1992,1
MDG,1993,1
MDG,1994,1
MDG,1995,1
MDG,1996,1
MDG,1997,1
MDG,1998,1
MDG,1999,1
MDG,2000,1
MDG,2001,1
MDG,2002,1
MDG,2003,1
MDG,2004,1
MDG,2005,1
MDG,2006,1
MDG,2007,1
MDG,2008,1
MDG,2009,1
MDG,2010,1
MDG,2011,1
MDG,2012,1
