iso3,year,unemployment_youth
DZA,1991,32.573
ARG,1991,11.63
AFG,1991,10.205
ALB,1991,16.127
AGO,1991,38.253
ARM,1991,1.755
AUS,1991,17.472
AUT,1991,3.715
AZE,1991,1.674
BHS,1991,22.739
BHR,1991,4.02
BGD,1991,5.615
BRB,1991,40.672
BLR,1991,1.077
BEL,1991,13.964
BLZ,1991,18.697
BEN,1991,1.749
BTN,1991,4.246
BOL,1991,4.833
BIH,1991,34.612
BWA,1991,25.191
BRA,1991,12.722
BRN,1991,14.139
BGR,1991,21.657
BFA,1991,3.883
BDI,1991,3.911
CPV,1991,22.155
KHM,1991,1.417
CMR,1991,13.155
CAN,1991,15.845
CAF,1991,10.811
TCD,1991,0.96
CHI,1991,10.564
CHL,1991,11.873
CHN,1991,4.366
COL,1991,19.156
COM,1991,10.114
COD,1991,5.25
COG,1991,38.374
CRI,1991,11.147
CIV,1991,8.843
HRV,1991,40.424
CUB,1991,15.072
CYP,1991,6.686
CZE,1991,4.68
DNK,1991,11.504
DJI,1991,57.139
DOM,1991,12.293
ECU,1991,9.146
EGY,1991,27.036
SLV,1991,12.608
GNQ,1991,14.237
ERI,1991,9.586
EST,1991,3.401
SWZ,1991,41.363
ETH,1991,4.624
FJI,1991,10.447
FIN,1991,14.941
FRA,1991,19.515
PYF,1991,30.791
GAB,1991,42.473
GMB,1991,14.039
GEO,1991,4.697
DEU,1991,5.512
GHA,1991,5.535
GRC,1991,23.888
GUM,1991,7.568
GTM,1991,4.375
GIN,1991,5.646
GNB,1991,3.892
GUY,1991,27.528
HTI,1991,16.658
HND,1991,7.682
HKG,1991,4.148
HUN,1991,15.973
ISL,1991,4.877
IND,1991,11.808
IDN,1991,7.866
IRN,1991,22.669
IRQ,1991,15.772
IRL,1991,22.611
ISR,1991,22.133
ITA,1991,28.507
JAM,1991,14.435
JPN,1991,4.474
JOR,1991,42.85
KAZ,1991,1.608
KEN,1991,6.148
PRK,1991,4.995
KOR,1991,7.151
KWT,1991,3.128
KGZ,1991,1.837
LAO,1991,5.236
LVA,1991,4.964
LBN,1991,20.077
LSO,1991,21.34
LBR,1991,3.416
LBY,1991,43.485
LTU,1991,1.959
LUX,1991,2.618
MAC,1991,4.734
MDG,1991,8.641
MWI,1991,6.697
MYS,1991,11.285
MDV,1991,1.781
MLI,1991,2.116
MLT,1991,11.625
MRT,1991,14.738
MUS,1991,23.011
MEX,1991,5.556
MDA,1991,3.602
MNG,1991,8.674
MNE,1991,54.326
MAR,1991,19.848
MOZ,1991,5.881
MMR,1991,1.428
NAM,1991,34.477
NPL,1991,18.977
NLD,1991,11.11
NCL,1991,42.293
NZL,1991,19.355
NIC,1991,12.115
NER,1991,3.224
NGA,1991,9.503
MKD,1991,44.512
NOR,1991,12.515
OMN,1991,12.892
PAK,1991,0.961
PAN,1991,13.317
PNG,1991,5.028
PRY,1991,11.231
PER,1991,6.015
PHL,1991,9.37
POL,1991,27.553
PRT,1991,8.604
PRI,1991,34.141
QAT,1991,2.506
ROU,1991,24.965
RUS,1991,13.032
RWA,1991,16.415
WSM,1991,4.312
STP,1991,20.951
SAU,1991,30.087
SEN,1991,2.959
SRB,1991,29.561
SLE,1991,7.495
SGP,1991,3.876
SVK,1991,23.981
SVN,1991,22.569
SLB,1991,3.296
SOM,1991,35.231
ZAF,1991,34.841
SSD,1991,18.32
ESP,1991,30.629
LKA,1991,36.797
LCA,1991,26.345
VCT,1991,36.119
SDN,1991,27.202
SUR,1991,41.509
SWE,1991,7.797
CHE,1991,3.272
SYR,1991,12.083
TJK,1991,4.149
TZA,1991,6.36
THA,1991,5.079
TLS,1991,9.502
TGO,1991,7.074
TON,1991,3.08
TTO,1991,34.43
TUN,1991,30.093
TUR,1991,15.188
TKM,1991,2.74
UGA,1991,5.102
UKR,1991,3.573
ARE,1991,3.906
GBR,1991,13.884
USA,1991,13.418
URY,1991,24.607
UZB,1991,3.956
VUT,1991,13.649
VEN,1991,15.469
VNM,1991,4.215
VIR,1991,26.188
PSE,1991,15.59
YEM,1991,16.735
ZMB,1991,34.077
ZWE,1991,10.514
AFE,1991,14.44987207
AFW,1991,8.205040465
ARB,1991,24.88316156
CSS,1991,30.71349997
CEB,1991,21.84732732
EAR,1991,11.49437907
EAS,1991,5.111338865
EAP,1991,4.972629243
TEA,1991,4.97233079
EMU,1991,18.3417653
ECS,1991,14.8485336
ECA,1991,9.137891456
TEC,1991,13.30232625
EUU,1991,18.95230786
FCS,1991,9.656159066
HPC,1991,9.07991816
HIC,1991,14.31344022
IBD,1991,9.954994395
IBT,1991,9.574903067
IDB,1991,5.989664397
IDX,1991,9.028744971
IDA,1991,8.04115181
LTE,1991,7.475107066
LCN,1991,11.45435482
LAC,1991,10.84665129
TLA,1991,11.18864565
LDC,1991,8.850952321
LMY,1991,9.190575684
LIC,1991,8.872546358
LMC,1991,10.88140646
MEA,1991,24.04066012
MNA,1991,24.09536041
TMN,1991,24.17182684
MIC,1991,9.214237058
NAC,1991,13.65554107
OED,1991,13.34610253
OSS,1991,19.84649612
PSS,1991,7.866329529
PST,1991,12.92247204
PRE,1991,10.60627991
SST,1991,20.29508197
SAS,1991,10.64550161
TSA,1991,10.64550161
SSF,1991,11.99713345
SSA,1991,11.99713345
TSS,1991,11.99713345
UMC,1991,7.907439588
WLD,1991,10.12948328
DZA,1992,38.644
ARG,1992,13.787
AFG,1992,10.197
ALB,1992,47.049
AGO,1992,38.595
ARM,1992,1.964
AUS,1992,19.268
AUT,1992,4.129
AZE,1992,3.34
BHS,1992,27.085
BHR,1992,3.827
BGD,1992,5.76
BRB,1992,41.903
BLR,1992,5.534
BEL,1992,13.211
BLZ,1992,18.854
BEN,1992,1.686
BTN,1992,4.278
BOL,1992,4.916
BIH,1992,36.699
BWA,1992,28.965
BRA,1992,13.072
BRN,1992,14.529
BGR,1992,29.728
BFA,1992,3.923
BDI,1992,3.893
CPV,1992,22.148
KHM,1992,1.442
CMR,1992,13.221
CAN,1992,17.227
CAF,1992,11.046
TCD,1992,0.953
CHI,1992,11.877
CHL,1992,10.243
CHN,1992,4.434
COL,1992,18.08
COM,1992,9.689
COD,1992,5.353
COG,1992,38.509
CRI,1992,7.672
CIV,1992,8.927
HRV,1992,38.227
CUB,1992,15.448
CYP,1992,4.541
CZE,1992,5.131
DNK,1992,12.326
DJI,1992,57.13
DOM,1992,12.143
ECU,1992,9.117
EGY,1992,25.305
SLV,1992,13.406
GNQ,1992,14.62
ERI,1992,9.793
EST,1992,7.39
SWZ,1992,42.319
ETH,1992,4.734
FJI,1992,10.581
FIN,1992,24.486
FRA,1992,21.42
PYF,1992,31.44
GAB,1992,43.329
GMB,1992,14.135
GEO,1992,9.397
DEU,1992,5.972
GHA,1992,7.444
GRC,1992,27.048
GUM,1992,8.398
GTM,1992,4.335
GIN,1992,5.667
GNB,1992,3.934
GUY,1992,27.672
HTI,1992,16.928
HND,1992,5.123
HKG,1992,4.268
HUN,1992,18.61
ISL,1992,9.852
IND,1992,11.833
IDN,1992,8.242
IRN,1992,21.86
IRQ,1992,15.413
IRL,1992,22.199
ISR,1992,22.637
ITA,1992,28.142
